autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_2,TBP,1485.93
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_3,TBFP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_3,TBP,1981.24
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_1y4,TBFP,407.9
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_1y4,TBP,815.8
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_1y4,TS,1223.71
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_2,TBFP,611.85
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_2,TBP,1223.71
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_2,TS,1835.56
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_3,TBFP,815.8
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_3,TBP,1631.61
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA26,Río Mapocho - Alameda,4.06,categoria_3,TS,2447.42
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_1y4,TBFP,278.29
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_1y4,TBP,556.59
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_1y4,TS,834.89
